CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Azim_7,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,Elev_7,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1743701958.354342,ble-pd-B43A31EF7B45,3711,7,-69.0,,-68.0,-74.0,-48.0,-48.0,-61.0,3.014013921569547,,-2.7222869947045236,-0.1561065136171747,-0.5277025752757868,1.0443326775744826,-1.0887166590168358,1.1120220879224345,,0.978360762551475,0.8802547682619452,0.2736759010574295,0.9967914357733403,0.2129141412082907,-3.593125343322754,4.412854194641113,1.6080840826034546,-3.54,4.44,1.65
1743701959.357006,ble-pd-B43A31EF7B45,3712,10,-66.0,,-66.0,-71.0,-50.0,-46.0,-59.0,3.060479158372596,,-2.6578957542880426,-0.16579269681790187,-0.6435163399550751,0.648551931886645,-0.9717575266178753,1.1239855401712884,,0.9191154151512996,0.8806303405546735,0.297946538683691,0.6391198005992477,0.2024137609890738,-3.5744051933288574,4.45724058151245,1.6127179861068726,-3.54,4.44,1.65
1743701960.357526,ble-pd-B43A31EF7B45,3713,6,,,-66.0,,-49.0,-46.0,,,,-2.5609665443051917,,-0.7429474111497854,0.5893519832192728,,,,0.937279705103267,,0.31685361165161896,0.5110359832394201,,,,,-3.54,4.44,1.65
1743701961.356104,ble-pd-B43A31EF7B45,3714,13,,-68.0,-62.0,-69.0,-54.0,-47.0,,,-1.0154053998935042,-2.576007012877523,-0.1380822393595184,-0.6618367824960056,1.536557436067239,,,1.1075810670676456,0.9560810897670082,0.8848193597913137,0.367295486901655,1.0992586012912755,,-3.6124515533447266,4.46094274520874,1.507400631904602,-3.54,4.44,1.65
1743701962.356745,ble-pd-B43A31EF7B45,3715,36,,-72.0,-66.0,-80.0,-56.0,-54.0,-60.0,,-1.0163791847460917,-2.747471976501185,-0.12284576213095709,0.09344014693784929,0.9148292054754366,-0.3161351304852596,,1.0828583434571948,0.814561907862688,0.8250269991032362,0.3650588331150558,0.7351595216110401,0.5872000985721405,-3.6263527870178223,4.48522186279297,1.4906339645385742,-3.54,4.44,1.65
1743701963.354911,ble-pd-B43A31EF7B45,3716,0,,-69.0,-71.0,-92.0,-50.0,-44.0,-62.0,,-0.9081794770300254,-2.8013282842775302,-0.10764017757104066,0.4942693217283341,2.6153096936800226,-0.6936286676794489,,0.9183797169001652,0.9144899703910228,0.8895536612611475,0.29431393121207994,1.2900642779776383,0.3442788693271463,-3.6545867919921875,4.4593658447265625,1.4914114475250244,-3.54,4.44,1.65
1743701964.354745,ble-pd-B43A31EF7B45,3717,15,,-67.0,-61.0,-68.0,-54.0,-50.0,,,-0.9363537239922463,-2.738077143123712,-0.0765357876194602,-0.01896021859194711,2.633584933017643,,,0.9229696084598895,0.883210877071933,0.8675066821769265,0.40136107923612835,0.9683680826150609,,-3.66988730430603,4.48616647720337,1.4911818504333496,-3.54,4.44,1.65
1743701965.356973,ble-pd-B43A31EF7B45,3718,30,,-68.0,-63.0,,-55.0,-52.0,-57.0,,-0.9206491962021035,-2.750847000550642,,0.4038226438360136,1.1978848625070113,-0.8171862568514601,,0.9156563017904229,0.8064627023555391,,0.30664467473607204,1.0806854424721208,0.6000946450771583,-3.6829209327697754,4.47127866744995,1.505583643913269,-3.54,4.44,1.65
1743701966.3608,ble-pd-B43A31EF7B45,3719,21,-74.0,,-61.0,,-57.0,-50.0,-62.0,3.0471351234146447,,-2.7383676939986397,,0.54538023605366,2.2260468585449464,-0.8587414268513541,0.9308031636483031,,0.8069394081906632,,0.3637056188665643,1.008646527611914,0.48665990417589156,-3.703878402709961,4.3942461013793945,1.483586311340332,-3.54,4.44,1.65
1743701967.357861,ble-pd-B43A31EF7B45,3720,28,-68.0,,-64.0,,-55.0,-54.0,-57.0,3.0578868373675125,,-2.7717954256852053,,0.6936120520324123,0.9415255635439569,-1.0110935653323387,0.9545536337237932,,0.798663368787133,,0.2728899315175513,1.0663705407905413,0.6853612282283701,-3.737081527709961,4.36448860168457,1.4457350969314575,-3.54,4.44,1.65
