,file_name,ppe_id,anchor,nao_recebidos_count,total_esperado,nao_recebidos_loss_percentage
61,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,6,139,181,23.204419889502763
62,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,7,143,181,20.994475138121548
63,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,1,176,181,2.7624309392265194
64,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
65,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,3,179,181,1.1049723756906076
66,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,4,179,181,1.1049723756906076
67,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,5,144,181,20.441988950276244
68,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,6,146,181,19.337016574585636
69,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,7,149,181,17.67955801104972
70,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,1,177,181,2.209944751381215
71,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,2,178,181,1.6574585635359116
72,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,3,176,181,2.7624309392265194
73,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
74,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,5,160,181,11.602209944751381
75,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,6,165,181,8.83977900552486
76,CLB_C1P4_data.csv,ble-pd-B43A31EF7B45,7,160,181,11.602209944751381
77,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,1,178,181,1.6574585635359116
78,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,2,177,181,2.209944751381215
79,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,3,174,181,3.867403314917127
80,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
81,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,5,142,181,21.54696132596685
82,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,6,142,181,21.54696132596685
