,file_name,ppe_id,anchor,nao_processados_count,total_esperado,nao_processados_loss_percentage
0,STC_C1P1_data.csv,Capacete,1,175,181,3.314917127071823
1,STC_C1P1_data.csv,Capacete,2,159,181,12.154696132596685
2,STC_C1P1_data.csv,Capacete,3,177,181,2.209944751381215
3,STC_C1P1_data.csv,Capacete,4,168,181,7.18232044198895
4,STC_C1P1_data.csv,Capacete,5,118,181,34.806629834254146
5,STC_C1P1_data.csv,Capacete,6,77,181,57.4585635359116
6,STC_C1P1_data.csv,Capacete,7,121,181,33.14917127071823
7,STC_C1P2_data.csv,Capacete,1,164,181,9.392265193370166
8,STC_C1P2_data.csv,Capacete,2,177,181,2.209944751381215
9,STC_C1P2_data.csv,Capacete,3,165,181,8.83977900552486
10,STC_C1P2_data.csv,Capacete,4,155,181,14.3646408839779
11,STC_C1P2_data.csv,Capacete,5,125,181,30.939226519337016
12,STC_C1P2_data.csv,Capacete,6,124,181,31.491712707182316
13,STC_C1P2_data.csv,Capacete,7,116,181,35.91160220994475
14,STC_C1P3_data.csv,Capacete,1,173,181,4.41988950276243
15,STC_C1P3_data.csv,Capacete,2,178,181,1.6574585635359116
16,STC_C1P3_data.csv,Capacete,3,178,181,1.6574585635359116
17,STC_C1P3_data.csv,Capacete,4,158,181,12.70718232044199
18,STC_C1P3_data.csv,Capacete,5,148,181,18.23204419889503
19,STC_C1P3_data.csv,Capacete,6,146,181,19.337016574585636
20,STC_C1P3_data.csv,Capacete,7,152,181,16.022099447513813
21,STC_C1P4_data.csv,Capacete,1,136,181,24.861878453038674
22,STC_C1P4_data.csv,Capacete,2,171,181,5.524861878453039
23,STC_C1P4_data.csv,Capacete,3,169,181,6.629834254143646
24,STC_C1P4_data.csv,Capacete,4,152,181,16.022099447513813
25,STC_C1P4_data.csv,Capacete,5,147,181,18.784530386740332
26,STC_C1P4_data.csv,Capacete,6,119,181,34.25414364640884
27,STC_C1P4_data.csv,Capacete,7,147,181,18.784530386740332
28,STC_C1P5_data.csv,Capacete,1,162,181,10.497237569060774
29,STC_C1P5_data.csv,Capacete,2,156,181,13.812154696132598
30,STC_C1P5_data.csv,Capacete,3,156,181,13.812154696132598
31,STC_C1P5_data.csv,Capacete,4,155,181,14.3646408839779
32,STC_C1P5_data.csv,Capacete,5,120,181,33.70165745856354
33,STC_C1P5_data.csv,Capacete,6,128,181,29.2817679558011
34,STC_C1P5_data.csv,Capacete,7,130,181,28.176795580110497
35,STC_C2P1_data.csv,Capacete,1,156,181,13.812154696132598
36,STC_C2P1_data.csv,Capacete,2,180,181,0.5524861878453038
37,STC_C2P1_data.csv,Capacete,3,163,181,9.94475138121547
38,STC_C2P1_data.csv,Capacete,4,172,181,4.972375690607735
39,STC_C2P1_data.csv,Capacete,5,161,181,11.049723756906078
40,STC_C2P1_data.csv,Capacete,7,124,181,31.491712707182316
41,STC_C2P2_data.csv,Capacete,1,83,181,54.14364640883977
42,STC_C2P2_data.csv,Capacete,2,171,181,5.524861878453039
43,STC_C2P2_data.csv,Capacete,3,164,181,9.392265193370166
44,STC_C2P2_data.csv,Capacete,4,177,181,2.209944751381215
45,STC_C2P2_data.csv,Capacete,5,145,181,19.88950276243094
46,STC_C2P2_data.csv,Capacete,6,124,181,31.491712707182316
47,STC_C2P2_data.csv,Capacete,7,120,181,33.70165745856354
48,STC_C2P3_data.csv,Capacete,1,173,181,4.41988950276243
49,STC_C2P3_data.csv,Capacete,2,168,181,7.18232044198895
50,STC_C2P3_data.csv,Capacete,3,167,181,7.734806629834254
51,STC_C2P3_data.csv,Capacete,5,138,181,23.756906077348066
52,STC_C2P3_data.csv,Capacete,6,109,181,39.77900552486188
53,STC_C2P3_data.csv,Capacete,7,131,181,27.624309392265197
54,STC_C2P4_data.csv,Capacete,1,93,181,48.61878453038674
55,STC_C2P4_data.csv,Capacete,2,150,181,17.12707182320442
56,STC_C2P4_data.csv,Capacete,3,175,181,3.314917127071823
57,STC_C2P4_data.csv,Capacete,4,175,181,3.314917127071823
58,STC_C2P4_data.csv,Capacete,5,148,181,18.23204419889503
59,STC_C2P4_data.csv,Capacete,6,109,181,39.77900552486188
60,STC_C2P4_data.csv,Capacete,7,142,181,21.54696132596685
61,STC_C2P5_data.csv,Capacete,1,175,181,3.314917127071823
62,STC_C2P5_data.csv,Capacete,2,181,181,0.0
63,STC_C2P5_data.csv,Capacete,3,162,181,10.497237569060774
64,STC_C2P5_data.csv,Capacete,4,179,181,1.1049723756906076
65,STC_C2P5_data.csv,Capacete,6,154,181,14.917127071823206
66,STC_C2P5_data.csv,Capacete,7,143,181,20.994475138121548
67,STC_C3P1_data.csv,Capacete,1,138,181,23.756906077348066
68,STC_C3P1_data.csv,Capacete,2,165,181,8.83977900552486
69,STC_C3P1_data.csv,Capacete,3,169,181,6.629834254143646
70,STC_C3P1_data.csv,Capacete,4,180,181,0.5524861878453038
71,STC_C3P1_data.csv,Capacete,5,126,181,30.386740331491712
72,STC_C3P1_data.csv,Capacete,6,127,181,29.83425414364641
73,STC_C3P1_data.csv,Capacete,7,132,181,27.071823204419886
74,STC_C3P2_data.csv,Capacete,1,181,181,0.0
75,STC_C3P2_data.csv,Capacete,2,179,181,1.1049723756906076
76,STC_C3P2_data.csv,Capacete,3,160,181,11.602209944751381
77,STC_C3P2_data.csv,Capacete,4,165,181,8.83977900552486
78,STC_C3P2_data.csv,Capacete,5,104,181,42.5414364640884
79,STC_C3P2_data.csv,Capacete,6,145,181,19.88950276243094
80,STC_C3P2_data.csv,Capacete,7,135,181,25.41436464088398
81,STC_C3P3_data.csv,Capacete,1,181,181,0.0
82,STC_C3P3_data.csv,Capacete,2,160,181,11.602209944751381
83,STC_C3P3_data.csv,Capacete,3,174,181,3.867403314917127
84,STC_C3P3_data.csv,Capacete,4,173,181,4.41988950276243
85,STC_C3P3_data.csv,Capacete,5,126,181,30.386740331491712
86,STC_C3P3_data.csv,Capacete,6,119,181,34.25414364640884
87,STC_C3P3_data.csv,Capacete,7,126,181,30.386740331491712
88,STC_C3P4_data.csv,Capacete,1,111,181,38.67403314917127
89,STC_C3P4_data.csv,Capacete,2,174,181,3.867403314917127
90,STC_C3P4_data.csv,Capacete,3,160,181,11.602209944751381
91,STC_C3P4_data.csv,Capacete,4,165,181,8.83977900552486
92,STC_C3P4_data.csv,Capacete,5,109,181,39.77900552486188
93,STC_C3P4_data.csv,Capacete,6,125,181,30.939226519337016
94,STC_C3P4_data.csv,Capacete,7,107,181,40.88397790055249
95,STC_C3P5_data.csv,Capacete,1,68,181,62.430939226519335
96,STC_C3P5_data.csv,Capacete,2,150,181,17.12707182320442
97,STC_C3P5_data.csv,Capacete,3,181,181,0.0
98,STC_C3P5_data.csv,Capacete,4,168,181,7.18232044198895
99,STC_C3P5_data.csv,Capacete,5,152,181,16.022099447513813
100,STC_C3P5_data.csv,Capacete,6,142,181,21.54696132596685
101,STC_C3P5_data.csv,Capacete,7,149,181,17.67955801104972
102,STC_C4P1_data.csv,Capacete,1,181,181,0.0
103,STC_C4P1_data.csv,Capacete,2,160,181,11.602209944751381
104,STC_C4P1_data.csv,Capacete,3,179,181,1.1049723756906076
105,STC_C4P1_data.csv,Capacete,4,166,181,8.287292817679557
106,STC_C4P1_data.csv,Capacete,5,177,181,2.209944751381215
107,STC_C4P1_data.csv,Capacete,6,167,181,7.734806629834254
108,STC_C4P1_data.csv,Capacete,7,177,181,2.209944751381215
109,STC_C4P2_data.csv,Capacete,1,168,181,7.18232044198895
110,STC_C4P2_data.csv,Capacete,2,171,181,5.524861878453039
111,STC_C4P2_data.csv,Capacete,3,166,181,8.287292817679557
112,STC_C4P2_data.csv,Capacete,4,176,181,2.7624309392265194
113,STC_C4P2_data.csv,Capacete,5,150,181,17.12707182320442
114,STC_C4P2_data.csv,Capacete,6,134,181,25.96685082872928
115,STC_C4P2_data.csv,Capacete,7,156,181,13.812154696132598
116,STC_C4P3_data.csv,Capacete,1,180,181,0.5524861878453038
117,STC_C4P3_data.csv,Capacete,2,150,181,17.12707182320442
118,STC_C4P3_data.csv,Capacete,3,176,181,2.7624309392265194
119,STC_C4P3_data.csv,Capacete,4,165,181,8.83977900552486
120,STC_C4P3_data.csv,Capacete,5,146,181,19.337016574585636
121,STC_C4P3_data.csv,Capacete,6,45,181,75.13812154696133
122,STC_C4P3_data.csv,Capacete,7,151,181,16.574585635359114
123,STC_C4P4_data.csv,Capacete,1,181,181,0.0
124,STC_C4P4_data.csv,Capacete,2,173,181,4.41988950276243
125,STC_C4P4_data.csv,Capacete,3,181,181,0.0
126,STC_C4P4_data.csv,Capacete,4,178,181,1.6574585635359116
127,STC_C4P4_data.csv,Capacete,5,177,181,2.209944751381215
128,STC_C4P4_data.csv,Capacete,6,157,181,13.259668508287293
129,STC_C4P4_data.csv,Capacete,7,173,181,4.41988950276243
