,file_name,ppe_id,anchor,nao_processados_count,total_esperado,nao_processados_loss_percentage
0,CLB_A01_data.csv,ble-pd-B43A31EF7B45,2,180,181,0.5524861878453038
1,CLB_A01_data.csv,ble-pd-B43A31EF7B45,3,170,181,6.077348066298343
2,CLB_A01_data.csv,ble-pd-B43A31EF7B45,4,171,181,5.524861878453039
3,CLB_A01_data.csv,ble-pd-B43A31EF7B45,5,123,181,32.04419889502763
4,CLB_A01_data.csv,ble-pd-B43A31EF7B45,6,140,181,22.65193370165746
5,CLB_A01_data.csv,ble-pd-B43A31EF7B45,7,140,181,22.65193370165746
6,CLB_A02_data.csv,ble-pd-B43A31EF7B45,1,128,181,29.2817679558011
7,CLB_A02_data.csv,ble-pd-B43A31EF7B45,3,158,181,12.70718232044199
8,CLB_A02_data.csv,ble-pd-B43A31EF7B45,4,169,181,6.629834254143646
9,CLB_A02_data.csv,ble-pd-B43A31EF7B45,5,132,181,27.071823204419886
10,CLB_A02_data.csv,ble-pd-B43A31EF7B45,6,131,181,27.624309392265197
11,CLB_A02_data.csv,ble-pd-B43A31EF7B45,7,123,181,32.04419889502763
12,CLB_A03_data.csv,ble-pd-B43A31EF7B45,1,30,181,83.42541436464089
13,CLB_A03_data.csv,ble-pd-B43A31EF7B45,2,151,181,16.574585635359114
14,CLB_A03_data.csv,ble-pd-B43A31EF7B45,4,175,181,3.314917127071823
15,CLB_A03_data.csv,ble-pd-B43A31EF7B45,5,141,181,22.099447513812155
16,CLB_A03_data.csv,ble-pd-B43A31EF7B45,6,138,181,23.756906077348066
17,CLB_A03_data.csv,ble-pd-B43A31EF7B45,7,137,181,24.30939226519337
18,CLB_A04_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
19,CLB_A04_data.csv,ble-pd-B43A31EF7B45,2,180,181,0.5524861878453038
20,CLB_A04_data.csv,ble-pd-B43A31EF7B45,3,180,181,0.5524861878453038
21,CLB_A04_data.csv,ble-pd-B43A31EF7B45,5,174,181,3.867403314917127
22,CLB_A04_data.csv,ble-pd-B43A31EF7B45,6,157,181,13.259668508287293
23,CLB_A04_data.csv,ble-pd-B43A31EF7B45,7,147,181,18.784530386740332
24,CLB_A05_data.csv,ble-pd-B43A31EF7B45,1,161,181,11.049723756906078
25,CLB_A05_data.csv,ble-pd-B43A31EF7B45,2,165,181,8.83977900552486
26,CLB_A05_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
27,CLB_A05_data.csv,ble-pd-B43A31EF7B45,4,178,181,1.6574585635359116
28,CLB_A05_data.csv,ble-pd-B43A31EF7B45,6,111,181,38.67403314917127
29,CLB_A05_data.csv,ble-pd-B43A31EF7B45,7,151,181,16.574585635359114
30,CLB_A06_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
31,CLB_A06_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
32,CLB_A06_data.csv,ble-pd-B43A31EF7B45,3,161,181,11.049723756906078
33,CLB_A06_data.csv,ble-pd-B43A31EF7B45,4,179,181,1.1049723756906076
34,CLB_A06_data.csv,ble-pd-B43A31EF7B45,5,136,181,24.861878453038674
35,CLB_A06_data.csv,ble-pd-B43A31EF7B45,7,122,181,32.59668508287293
36,CLB_A07_data.csv,ble-pd-B43A31EF7B45,1,174,181,3.867403314917127
37,CLB_A07_data.csv,ble-pd-B43A31EF7B45,2,181,181,0.0
38,CLB_A07_data.csv,ble-pd-B43A31EF7B45,3,174,181,3.867403314917127
39,CLB_A07_data.csv,ble-pd-B43A31EF7B45,4,164,181,9.392265193370166
40,CLB_A07_data.csv,ble-pd-B43A31EF7B45,5,140,181,22.65193370165746
41,CLB_A07_data.csv,ble-pd-B43A31EF7B45,6,78,181,56.9060773480663
42,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
43,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,2,180,181,0.5524861878453038
44,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,3,175,181,3.314917127071823
45,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,4,172,181,4.972375690607735
46,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,5,151,181,16.574585635359114
47,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,6,128,181,29.2817679558011
48,CLB_C1P1_data.csv,ble-pd-B43A31EF7B45,7,148,181,18.23204419889503
49,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,1,173,181,4.41988950276243
50,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,2,180,181,0.5524861878453038
51,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,3,177,181,2.209944751381215
52,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,4,174,181,3.867403314917127
53,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,5,143,181,20.994475138121548
54,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,6,136,181,24.861878453038674
55,CLB_C1P2_data.csv,ble-pd-B43A31EF7B45,7,141,181,22.099447513812155
56,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,1,171,181,5.524861878453039
57,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
58,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,3,174,181,3.867403314917127
59,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,4,169,181,6.629834254143646
60,CLB_C1P3_data.csv,ble-pd-B43A31EF7B45,5,143,181,20.994475138121548
