CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733924590.091139,ble-pd-B43A31EF7B26,99,14,,,,,-52.0,,,,,,1.3653038904276067,,,,,,0.5607530287382824,,,,,-6.069709143174921,0.4464198771272936,1.92
1733924591.088277,ble-pd-B43A31EF7B26,100,22,-72.0,-76.0,-86.0,-71.0,-57.0,,2.191848688794683,3.061489561690172,1.3940689568572384,1.159197323472098,1.72072963808624,,0.5041899904689376,0.18952545687214303,0.3267578149487899,0.31313195096848123,0.7561228459065014,,-2.2470052242279053,1.4824718236923218,0.938868284225464,-6.462645289962095,0.5987895889886516,1.92
1733924592.089719,ble-pd-B43A31EF7B26,101,14,-70.0,,-71.0,,-53.0,,2.3629567888322742,,1.5646412288835054,,1.872792241940948,,0.6229606500788828,,0.4222255819939463,,0.65919899561181,,-2.380340814590454,1.5288941860198975,0.8753942847251892,-6.857277488023789,0.7518169823743839,1.92
1733924593.092958,ble-pd-B43A31EF7B26,102,24,-69.0,,-68.0,,-46.0,-46.0,2.340362530144042,,1.6918828047097474,,1.9432102282747612,2.2250829773266143,0.4398019791352785,,0.08312322476669048,,0.5623531901965576,1.0559216426593003,-2.527869701385498,1.578467607498169,0.839948832988739,-7.143473935021595,0.9982362755202199,1.92
1733924594.086571,ble-pd-B43A31EF7B26,103,32,-78.0,,-82.0,,-45.0,-50.0,2.356523124270861,,1.7101068160491595,,1.934403927113482,2.9603596551011773,0.3554146932795603,,0.09352750438822233,,0.6515734814113797,0.9521506919169191,,,,-7.141577561564804,1.485739709162195,1.92
1733924595.095936,ble-pd-B43A31EF7B26,104,0,-83.0,,-75.0,,-46.0,-42.0,2.3437165152208874,,1.7461180803092111,,2.1746095910932524,-2.901209020145301,0.24731149186349574,,0.18674832913216521,,0.44461336033707777,0.753375858047047,,,,-7.139651124416525,1.980971658923352,1.92
1733924596.087982,ble-pd-B43A31EF7B26,105,31,-72.0,,-89.0,,-44.0,-45.0,2.4329814139025996,,1.7411960259825265,,2.145550485959886,-2.792021976975551,0.2615311408983512,,0.36521039898011703,,0.4834281148642778,0.547835714227729,,,,-7.137757741678663,2.4677062641778997,1.92
1733924597.088433,ble-pd-B43A31EF7B26,106,11,-74.0,-75.0,-69.0,-70.0,-40.0,-47.0,2.4562723555319965,-2.8376396867924334,1.7758922212962969,2.4905115524027095,2.267289349445013,-2.614492362065481,0.2736170652678352,0.16162879451929257,0.43843694262904476,0.3217614251381786,0.3547214659163803,0.36733247298482247,-2.717653274536133,1.6483749151229858,0.8556553721427917,-7.135848317464991,2.958564674535401,1.92
1733924598.088774,ble-pd-B43A31EF7B26,107,5,,,-71.0,,-41.0,-57.0,,,1.7139897049184951,,2.3946672625923857,-2.342551793054027,,,0.46446235148670784,,0.38630451410304795,0.24858087384247193,,,,-7.133939103193299,3.449369114808271,1.92
1733924599.088634,ble-pd-B43A31EF7B26,108,18,-69.0,-76.0,-70.0,-71.0,,,2.497867735965726,-2.7872161936612003,1.9494136779137177,2.9311794916559406,,,0.25646805554719027,0.09473652958884786,0.3502514231371419,0.36440932012422117,,,-2.900566339492798,1.7141331434249878,0.8568333983421326,-7.1320308069406275,3.9399375586201626,1.92
1733924600.088556,ble-pd-B43A31EF7B26,109,35,-71.0,-81.0,-67.0,-73.0,-37.0,-54.0,2.553146438080283,-2.741701439051201,1.8444462488126807,3.0403685637169713,2.5905078818327802,0.7857028412461105,0.31725948447345426,0.1215669953992851,0.4801962073383551,0.38481938724442494,0.5215729114004918,1.5214359743304986,-3.116734504699707,1.774358868598938,0.8227426409721375,-7.130122392357022,4.430536421934302,1.92
1733924601.086906,ble-pd-B43A31EF7B26,110,17,-77.0,-69.0,-70.0,-65.0,-36.0,-52.0,2.557646647690299,-2.7162448148233516,1.6416326833654782,-3.1041845613379953,2.723467558671751,-2.4540247541525737,0.29841941739487937,0.15713229669004597,0.3310955384427974,0.44263511648193204,0.5692322790316839,1.237038684141742,-3.387749433517456,1.8555692434310913,0.8144909143447876,-6.726601503797358,4.46287592791893,1.92
1733924602.088988,ble-pd-B43A31EF7B26,111,9,-65.0,-68.0,-73.0,-61.0,-33.0,-55.0,2.5916099410720794,-2.6924420136324416,1.7028885842306087,-3.131537089945872,2.6498111498588615,-1.7267526164174811,0.3358443541405722,0.15790441366908717,0.322804019415431,0.38043658974896793,0.8100320185626548,1.0578278365650493,-3.686971426010132,1.949238657951355,0.824403405189514,-6.2939009552428,4.4638154814735,1.92
