CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1734021707.746331,ble-pd-B43A31EF7B26,92,19,-75.0,-74.0,-68.0,-69.0,-54.0,-47.0,2.121130043944283,2.7456019047837312,1.3406470106546848,1.32486644961542,1.3006065575648456,0.7321502672860617,0.27980618506215205,0.4873955307131663,0.2848969839334067,0.25400106956090895,0.6327538745876508,0.27809649619451277,-2.55494213104248,0.9784052968025208,0.7200881838798523,-4.507947762463118,0.4,1.92
1734021708.745887,ble-pd-B43A31EF7B26,93,0,-74.0,-69.0,-72.0,-74.0,-51.0,-40.0,2.185181198689561,2.8006632929533373,1.32451757551262,1.4118157297293084,1.16282548955247,0.7605783112908646,0.25934312103625573,0.3100010056329296,0.3044992810054758,0.21878650658571153,0.5155092784606186,0.31200562028282564,-2.763651132583618,1.309849739074707,0.70766544342041,-4.826664760600985,0.4,1.92
1734021709.747636,ble-pd-B43A31EF7B26,94,23,-93.0,-83.0,-87.0,-70.0,-57.0,-36.0,2.155950342564851,2.837012246039611,1.2647296090403413,1.4876556333559308,1.0339515229070506,0.8500252659953897,0.25353157090548484,0.3383502222787686,0.31688710797403385,0.1420010642588132,0.34387714217523574,0.4328803949691752,-2.9498674869537354,1.6751517057418823,0.860530436038971,-5.146081015585807,0.4,1.92
1734021710.751529,ble-pd-B43A31EF7B26,95,28,,-68.0,-77.0,-79.0,-57.0,-39.0,,2.9038852862759366,1.2924829433922749,1.681821914743646,1.1217394523086868,1.06462404682642,,0.36123969237383613,0.39096057013912044,0.20194584098502733,0.19973260193879797,0.5553986996922217,,,,-5.46618090334759,0.4,1.92
1734021711.74712,ble-pd-B43A31EF7B26,96,14,-74.0,-73.0,-69.0,-73.0,,-43.0,2.1260574245931476,3.0256226407612026,1.4554308515337542,2.047658223158959,,1.3418409723939724,0.2912773852730185,0.24801801185593694,0.3315969118075184,0.15889166412993638,,0.7027656857061916,-3.274106502532959,1.940332293510437,0.951651155948639,-5.783633308391508,0.4,1.92
1734021712.746494,ble-pd-B43A31EF7B26,97,28,-78.0,-74.0,-75.0,-80.0,-49.0,-40.0,2.1357097856480305,3.0579273174160817,1.5524135910545156,2.099656976074974,1.1508347510539272,1.763906481564801,0.21691806605442557,0.2481188957269805,0.3985451863446388,0.16479426108047437,0.35184220245770553,0.693515135868681,-3.541813373565674,2.245807409286499,0.910217583179474,-6.069460728711355,0.44632354890565934,1.92
1734021713.745968,ble-pd-B43A31EF7B26,98,35,-94.0,-77.0,-86.0,-69.0,-48.0,-54.0,2.1591296242741875,3.0269584823639866,1.5927498289248558,2.2001673387756546,1.535509931129128,2.0464018923246563,0.23362535721876723,0.3112016252313646,0.2585621157570764,0.24329967270788674,0.5924878430680249,0.6511591895637656,-3.838029146194458,2.423182964324951,0.9104560613632202,-6.31944741756048,0.5432614357876903,1.92
1734021714.746804,ble-pd-B43A31EF7B26,99,27,-75.0,-76.0,-77.0,-74.0,,-47.0,2.279026201813991,2.9855548495287425,1.6051351258903783,2.232640327211427,,2.269290359329422,0.3369998664480439,0.35960015053824246,0.19933459489144784,0.18706958958341283,,0.6369164019081202,-4.139768600463867,2.55072546005249,0.9698485136032104,-6.569774767467534,0.6403314215556685,1.92
1734021715.74539,ble-pd-B43A31EF7B26,100,13,-74.0,-68.0,-79.0,-77.0,-48.0,-48.0,2.339347333136504,3.0449539944818698,1.6216893352263109,2.314926678572695,1.657732387844928,2.45139431239955,0.4712318739510939,0.4036747342097541,0.14814048280928646,0.18079228586750068,0.7816000651302831,0.44902173322313493,-4.42796277999878,2.548050880432129,0.942827045917511,-6.819539351309727,0.7371831822917954,1.92
1734021716.746214,ble-pd-B43A31EF7B26,101,0,-74.0,-70.0,-71.0,-71.0,-50.0,-46.0,2.386637617245259,3.0262905615625946,1.649997139717199,2.3295607487626806,3.0851668374816152,2.666724187723561,0.5971820496752427,0.29794304445489145,0.154198708236026,0.2223845703764631,1.25616865303583,0.4743639598768246,-4.68911600112915,2.403435707092285,0.9014145731925964,-7.069863699797769,0.8342520041929371,1.92
1734021717.745436,ble-pd-B43A31EF7B26,102,7,-76.0,-74.0,-73.0,-68.0,-46.0,-58.0,2.4106886250497643,3.0489982709132644,1.7013018728531395,2.624275742370773,2.3894915782690846,2.846954294347108,0.5627010377775508,0.2827674870362657,0.2223450390790322,0.2869307734788729,0.843930686285792,0.4706600959013647,-4.95567750930786,2.2036728858947754,0.7608726024627686,-7.143042482590944,1.1091503682278683,1.92
1734021718.746874,ble-pd-B43A31EF7B26,103,11,-77.0,-86.0,-72.0,-75.0,-48.0,-47.0,2.5313255613726096,-3.1003400219883566,1.8213145642164703,2.437803333372297,2.3202988091270504,3.104204876699945,0.5626301976925547,0.3621778241573302,0.2563694353630733,0.15360535594515634,0.45961953814336093,0.3662853138480687,-5.253230094909668,2.040529489517212,0.713707447052002,-7.141678122190656,1.4598884454164638,1.92
1734021719.746404,ble-pd-B43A31EF7B26,104,15,-70.0,-75.0,-69.0,-66.0,-47.0,,2.598052127748981,-3.076719114699899,1.8324503059985278,2.4216459350387862,2.2277488610673433,,0.5670937222585547,0.2671314191308948,0.18968493028716835,0.12830589983351365,0.43130411483625636,,-5.57629108428955,1.88528311252594,0.7596243619918823,-7.140316361251984,1.8099582752934174,1.92
1734021720.747262,ble-pd-B43A31EF7B26,105,26,-69.0,-70.0,-74.0,-69.0,-46.0,-45.0,2.553443646857936,-3.0073363114522826,1.8351683282070625,2.4761192972397033,2.1776482472833774,-2.860264811872748,0.5128377072921021,0.21848548615874852,0.2089659336184762,0.17224020981698376,0.4058786524488542,0.37024322148796013,-5.9276604652404785,1.7682456970214844,0.749283254146576,-7.138952791044431,2.160493216506776,1.92
