CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733158829.921873,ble-pd-B43A31EF7B45,985,0,-87.0,-62.0,-75.0,-78.0,-51.0,1.1914732379872044,2.426337892247288,0.9918488079453719,0.7812614752762282,1.062927650555262,0.3606071916149423,0.7860017022794876,0.20062988986663513,0.46123083853049207,0.3874418064970489,-1.1709885597229004,2.42286205291748,-6.192955017089844,-5.345918689673937,0.4,1.92
1733158830.918072,ble-pd-B43A31EF7B45,986,20,-72.0,-75.0,-79.0,-71.0,-57.0,1.1522398151242663,2.450634976136517,1.029193250647117,1.1179417623934627,1.1477744114647168,0.39955259360598855,0.7494448894701332,0.2074869471071007,0.44976952530517256,0.6180955335286923,-1.5353150367736816,0.858567476272583,-2.3434603214263916,-5.729674537194201,0.4,1.92
1733158831.916827,ble-pd-B43A31EF7B45,987,20,-81.0,-87.0,-79.0,-73.0,,1.0464766334895133,2.4333707680539693,1.0565202129085292,1.9200901437830733,,0.2509635845348623,0.7437210239182532,0.22468757221862273,0.5364445664058097,,-2.5776305198669434,1.3933446407318115,0.20460166037082672,-6.108505037020679,0.4614638460138814,1.92
1733158832.918554,ble-pd-B43A31EF7B45,988,13,,-71.0,-81.0,-84.0,-55.0,,2.446081503304699,1.057356445490814,2.1608809190070235,1.7273697980326648,,0.7288490668638964,0.2447557726786444,0.5509979095252521,0.3520546744218032,-3.401764154434204,2.1529717445373535,1.429314374923706,-6.480519561630372,0.6057207345350604,1.92
1733158833.919103,ble-pd-B43A31EF7B45,989,2,-77.0,-71.0,-74.0,-71.0,-57.0,0.9651274485158439,2.494580329916132,1.0761951144098165,2.1415932411282337,1.8388760050666177,0.2925167538653141,0.8202237883401965,0.2264458577493203,0.57985545704416,0.2263123114613932,-3.587961435317993,2.8464152812957764,1.666599988937378,-6.8520966086538655,0.7498079814126799,1.92
1733158834.916459,ble-pd-B43A31EF7B45,990,33,,-79.0,-75.0,-72.0,-59.0,,2.5999893111259045,1.0658308903955551,2.1313107761594376,1.5707963266769789,,0.7411658540103766,0.20954746813200864,0.583202917376335,0.5585053606381855,-4.274763107299805,3.752774953842163,1.271661400794983,-7.143663467394896,0.949512917555011,1.92
1733158835.918996,ble-pd-B43A31EF7B45,991,36,,-73.0,-73.0,-73.0,-55.0,,2.7986073325917964,1.1150178778326647,2.1115277503178933,0.7756546688037949,,0.6669803060529115,0.27990851702703834,0.5104006485785706,0.9509624396944036,-2.3376712799072266,1.032330870628357,0.5253296494483948,-7.142067089963097,1.3598959444865593,1.92
1733158836.917179,ble-pd-B43A31EF7B45,992,13,,-70.0,-68.0,-64.0,-48.0,,-3.113670208508639,1.3330404899492005,2.206571708565077,2.022153363767837,,0.7064299775963642,0.2767830977507486,0.5629514414990455,0.7751404675080057,-3.72360372543335,1.4379767179489136,0.5158830285072327,-7.140477645569519,1.7684966853785298,1.92
1733158837.932177,ble-pd-B43A31EF7B45,993,6,,-72.0,-75.0,-74.0,-48.0,,-3.0146602707661097,1.1154264067438828,2.4602798803403476,2.1676608003191857,,0.66206617463047,0.2207494726909385,0.5562132444669815,0.45447334130236394,-3.749849319458008,2.7441046237945557,0.92654550075531,-7.138861426018002,2.18398055437236,1.92
1733158838.91779,ble-pd-B43A31EF7B45,994,34,,-70.0,-74.0,-75.0,-45.0,,-3.0007750814746545,1.6134660264123641,2.5075951981633495,2.2794366896638363,,0.5138060659539685,0.19387383301051078,0.401978000989751,0.3727596140001197,-4.477952003479004,2.5678670406341553,0.8480364084243774,-7.1372919973089495,2.5874358346493818,1.92
