CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1734012728.417192,ble-pd-B43A31EB2289,61,3,-78.0,-70.0,-79.0,-75.0,-69.0,-56.0,1.402525025950458,1.6164391794533286,0.8403184040292804,0.9159761474373415,0.8375723119063215,0.554230801821685,0.3214826920405882,1.140741084485631,0.2455780902442336,0.24530433392893028,0.17744387547266513,0.5863841895525932,0.2270302027463913,-0.03493650257587433,-1.3368146419525146,-1.322048616890007,0.4,1.92
1734012728.919875,ble-pd-B43A31EB228D,109,25,-90.0,-61.0,-91.0,-80.0,-73.0,-66.0,1.475490313496449,1.9182413773543403,0.8206429698957749,0.6993903107289032,0.7784742822842502,0.14537104293719186,0.5469629208681595,1.1322629111553637,0.17075411599444912,0.44228890554022177,0.24041475667081386,0.5711256330105235,-0.2531953454017639,1.126376986503601,-0.762838125228882,-1.5568911107101164,0.4,1.92
1734012728.944987,ble-pd-B43A31EF7B26,74,14,-76.0,-54.0,,-69.0,-53.0,-58.0,1.638668052440002,1.7325647208895798,,1.0967224937760383,0.7072715593519646,-0.5739792861818215,0.17638678492375073,0.5931932335735493,,0.26770548014861817,0.4891166663534025,0.580639079731068,,,,-1.5686228874059878,0.4,1.92
1734012728.959593,ble-pd-B43A31EF7527,74,25,-86.0,-65.0,,-80.0,-65.0,-61.0,1.344820184082839,1.135903718681611,,0.48510118414454945,0.5275032287937538,-0.055713477428993616,0.3646629529285376,0.992577315661563,,0.28783957720086245,0.44667431919321876,0.34856708705914996,-0.6112820506095886,3.322328805923462,-0.10905946046113968,-1.5754464908792234,0.4,1.92
1734012729.415348,ble-pd-B43A31EB2289,62,30,-90.0,-80.0,-85.0,-84.0,-67.0,-57.0,1.455934188979779,1.70743566547581,0.7426634826493828,0.9394234166227261,0.8201610770664862,0.4532990661097101,0.3375097952177668,1.2127572214191178,0.08106833799196375,0.25358336938868686,0.18077379807027916,0.6123224471893264,0.26262563467025757,-0.05555465817451477,-1.2115187644958496,-1.7883652503578293,0.4,1.92
1734012729.91887,ble-pd-B43A31EB228D,110,21,,-73.0,-87.0,-81.0,-65.0,-57.0,,1.9499074279798185,1.068145976331161,0.7023789101041902,0.8787238459067145,0.4903904502264652,,1.078704278209862,0.20783334114113594,0.47530591120766985,0.2645243133470745,0.3742477736552446,-0.23475533723831177,1.1721364259719849,-0.609465718269348,-2.023599706612147,0.4,1.92
1734012729.941577,ble-pd-B43A31EF7B26,75,15,-75.0,-55.0,-76.0,-80.0,-55.0,-54.0,1.676340596588045,1.7656582258593405,1.3550504510942694,1.0685225473092983,0.7821305023582559,0.04209717347984346,0.3567931121702717,0.6141485829269467,0.22503677921655937,0.3142703524659493,0.31947332067785705,0.5930011101705472,-1.126142978668213,0.21957355737686157,0.3533381223678589,-2.034207919953703,0.4,1.92
1734012729.961134,ble-pd-B43A31EF7527,75,28,-87.0,-56.0,,-86.0,-65.0,-63.0,1.4574037212692847,1.1659316589205815,,0.5064323055277571,0.9149612541221425,0.054747618729732134,0.25313714010328725,0.9980802720010211,,0.27050221541212166,1.3721076836523074,0.2962870063571205,-0.5072110891342163,3.33938980102539,-0.0191979892551899,-2.0433445222490656,0.4,1.92
1734012730.419466,ble-pd-B43A31EB2289,63,2,-84.0,-69.0,-79.0,-82.0,,-49.0,1.441079076419317,1.7478432760633644,0.8988405700354446,1.07843296867381,,0.5510847716362313,0.3777698666809307,1.1744720170623018,0.05933539969572276,0.24545774865247566,,0.5215729113155952,0.2519221305847168,-0.0478842556476593,-1.0296436548233032,-2.2574671997168902,0.4,1.92
1734012730.920188,ble-pd-B43A31EB228D,111,4,,-74.0,,-85.0,-65.0,-45.0,,1.9900327434918244,,0.7180281773017138,0.9234672038668473,0.54538023605366,,0.9785455193520991,,0.546757524569087,0.2274852299289993,0.3637056188665643,,,,-2.491393557263481,0.4,1.92
1734012730.936689,ble-pd-B43A31EF7B26,76,31,-79.0,,-77.0,-74.0,,,1.7224313929418282,,1.225667161119386,1.12292480310911,,,0.24880059838701354,,0.3152888118458228,0.3269708345464826,,,-1.0907633304595947,0.15564316511154175,0.32785385847091675,-2.4991024632549816,0.4,1.92
