CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733930337.981546,ble-pd-B43A31EF7B26,60,13,-53.0,-83.0,-81.0,-63.0,-52.0,-56.0,1.8115498177635858,-1.529592297883354,0.2215680784757584,-0.7479610426897684,-0.19710963721581806,-0.7623214779651308,0.8909399031875609,0.11073730908312672,0.11326882679157198,0.17581423857889733,0.4806315158892953,0.4244554517313751,-0.9973744750022888,6.439398288726807,1.5586235523223877,-1.4504356011759156,6.8743235151990065,1.92
1733930338.978054,ble-pd-B43A31EF7B26,61,11,-56.0,-71.0,-75.0,-67.0,,-52.0,1.8535441397286092,-1.6206709424254646,0.19097767861456325,-0.8164381048506488,,-0.9131156242809824,0.9202960610415589,0.14488964529041085,0.15706894674561572,0.1926990627194064,,0.25387551662422425,-1.0329970121383667,6.441524982452393,1.5735092163085938,-1.8695178513232977,6.860279578506838,1.92
1733930339.978235,ble-pd-B43A31EF7B26,62,36,-62.0,-79.0,-85.0,-75.0,-57.0,-63.0,1.8739823031983134,-1.5958133962848284,0.24291837461881466,-0.8342474620083358,-0.4995941516477506,-0.8308033389353302,0.9534887687619252,0.17289839343564,0.19245959460313783,0.22056717931432257,0.32499936181273387,0.2281323342827098,-1.0763437747955322,6.462714672088623,1.576486587524414,-2.29014478460899,6.846183877674823,1.92
1733930340.982934,ble-pd-B43A31EF7B26,63,30,-64.0,-85.0,-83.0,-66.0,-63.0,-66.0,1.9078236238021684,-1.587396741975742,0.34580640754071795,-0.8823468144562568,-0.6523581397216711,0.018250590905441656,0.9356416612957863,0.1929653621836575,0.25034248543438536,0.19499287665580528,0.25268025512221237,0.296659408877608,-1.1390663385391235,6.489718437194824,1.5708435773849487,-2.712671766470475,6.832024503991236,1.92
1733930341.9781,ble-pd-B43A31EF7B26,64,18,-64.0,-81.0,-70.0,-66.0,-54.0,-65.0,1.8728754934492764,-1.5995195844158372,0.2611849965356682,-0.9310918503104676,-0.7002078150421679,-0.6121464538319855,0.9248970712988345,0.21569642412813578,0.18740801077893465,0.23330958953726788,0.2996585857592847,0.7030380372598756,-1.1838868856430054,6.52868938446045,1.56693971157074,-3.1311896374260213,6.81799948030633,1.92
1733930342.980221,ble-pd-B43A31EF7B26,65,27,-63.0,-78.0,-86.0,-63.0,-51.0,-63.0,1.916687689174388,-1.640544515744072,-0.023441143914877456,-0.9384022275027352,-0.7376786899323401,-1.6819697276193375,0.9301113409761278,0.20817870320024878,0.07148213984541221,0.2241261445713204,0.36057988162575844,1.0084047068238506,-1.2214868068695068,6.572885513305664,1.5449323654174805,-3.5526324392900754,6.80387643876337,1.92
1733930343.978559,ble-pd-B43A31EF7B26,66,3,-76.0,-79.0,-63.0,-62.0,-51.0,-62.0,2.408971418778881,-1.685838893773867,0.3325188315978766,-0.9628500463096626,-0.8544764135535796,3.095030609347019,0.8099610973424943,0.253805427089329,0.0595213008233779,0.24598532086442035,0.24690743248943167,1.1864470994205059,-1.278106451034546,6.61020278930664,1.5784339904785156,-3.972484297426324,6.7898067116067535,1.92
1733930344.977907,ble-pd-B43A31EF7B26,67,1,-67.0,-79.0,-58.0,-63.0,-52.0,-62.0,2.5528295219105637,-1.8366851316059172,0.34639177034831736,-0.9329733736206086,-0.9489681917585642,-2.4465235293655296,0.796087426222754,0.2170239100629994,0.11085482938860487,0.2816757241473877,0.18706008054394696,0.8501254707257044,-1.3607701063156128,6.638538360595703,1.6013188362121582,-4.392760911884298,6.775722750368665,1.92
1733930345.979453,ble-pd-B43A31EF7B26,68,4,-74.0,-82.0,-56.0,-91.0,-62.0,,2.548171120531797,-1.8514960356922838,0.3841364861619014,-0.9537008895427499,-1.2296866001157734,,0.7911537205663003,0.28946683520592814,0.33671770453055,0.3122157236849531,0.6011963031023605,,-1.4451466798782349,6.66732406616211,1.5701475143432617,-4.813961897030538,6.761607812386939,1.92
1733930346.97458,ble-pd-B43A31EF7B26,69,34,-80.0,-80.0,-60.0,-79.0,-52.0,-63.0,2.8968545409981274,-1.8928446742510177,0.44713302911550773,-0.8381841467316908,-1.5182793877609573,-2.355720658709458,0.6356552732050179,0.30114512948106187,0.5019468764617911,0.2700625275161496,0.6439374702116727,0.4743889225008787,-1.5416083335876465,6.6705498695373535,1.5308917760849,-5.232463366504355,6.747583338334882,1.92
1733930347.977122,ble-pd-B43A31EF7B26,70,24,-65.0,-83.0,-53.0,-75.0,-56.0,-64.0,3.107236277631117,-1.9117864075042061,0.46956190550004606,-0.8899208445964422,-1.5445037299552018,-1.5834755626695556,0.4911597424664252,0.3510546325219098,0.5682942752779625,0.23705890423317913,0.6453128578210312,0.6282078792201791,-1.644460916519165,6.650822162628174,1.4792258739471436,-5.6540832202609295,6.733454363575784,1.92
1733930348.978219,ble-pd-B43A31EF7B26,71,36,-95.0,-88.0,-63.0,-76.0,-55.0,-65.0,3.113387647116982,-1.9812118213292638,0.45584742483446505,-0.876975751169785,-1.5825675797411458,-1.273258912375375,0.4320464212772906,0.35222985222144815,0.5186199959403958,0.22416632501426698,0.5933092183233927,0.3710272071223011,-1.7518376111984253,6.610384464263916,1.4489147663116455,-6.075095378091869,6.719345753418395,1.92
